chat_message,label
명보형 부터 들어와라,6
밴유도가 우글우글,6
퓨정 ㄷㄷ,1
ㅈㄴ무섭네,5
난가병,6
결론은 수련회메타네 ㄷㄷ,1
멍하니 처보고있노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
누가 물안잠궜냐,6
장투는 진짜 답이없네 ㅋㅋ,2
일본 삼계탕 팜,6
손흥민 쳐나가라 ㅋㅋ,4
ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,0
트름은 좀..,4
야.,6
3패당할듯,6
노르웨이 선제골 ㅅㅅㅅㅅ,0
정몽규 하...,2
양천고 3학년 정지훈 지금 보고있는거 안다 엄마 없는거 부끄러운거 아니다 빨리 돈 갚아라,6
파울 아니냐?,6
다들 왜 화를 여기다 내요,6
질질 끌지말고,2
말해도 된다고 ㅋㅋ,6
아오;;;;;;;;;;;;;,2
개웃기네저사람,6
아 ㅠㅠㅠㅠㅠㅠㅠ,3
아오 꼽등이,4
기대가 없으니 실망도 없다,6
퓨정 ㄷㄷ,1
밴하잖아욧!!!,2
뭉시렁뭉시렁,6
ㅌㅌㅌㅋㅌㅌㅌㅌㅌㅌㅌㅋㅌㅌㅋㅋㅋ,0
영도보기 전,6
ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,0
장 마감 빨리오렴 ㅠㅠ,5
근데 피티형 은근잘하네ㅋㅋ금방깨겟네,6
반속이 할배라 보통사람 3배가 걸리는 나,6
아난데요 물던데요,6
골ㅅㅅㅅㅅㅅㅅㅅㅅ,0
투헬은 안돼,6
노르웨이 올라가도 아르헨 못 이길 걸,6
스엑스 글레이,6
ㅌㅊㅇ ㅌㅊㅇ ㅇㅇㅇ,6
숨어야되나봄,6
마포대교행 버스,6
ㄹㅇ ㅋㅋㅋㅋ,0
ㅈ버그 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
지려따!!!!,0
ㅈㄴ섬뜩하네,5
이야 이걸 안 사?,6
숲에남을껄!!!!!!!!!!!!!!!,6
저걸 놓치다니,3
오 ㄷ,6
돔이야,6
라이터 위치,6
이진수떄문에 대한민국은 진다~~~~~~~~~~~~~~~~~~~,6
또 꺾인다~~~~~~~~,2
아 물려요..? ㅋㅋ,6
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
슈카덕에 그래도 웃는다...,6
볼.뒤로.돌릴때부터 불안하더니.ㅋㅋㅋ,5
찝찌배,5
꼽기견 뭐냐,2
너 일본이 ㄴ아니지,6
살려주세요,5
뭐야 ㄷ,1
토누,6
황희찬 들어오나요,6
높다,6
"명보 하 ,,,",2
ㄴㅋㅋㄱㅋㄱ,0
럭키미끼잖아~~~~~~~,6
또속아,6
벤유도하지마요ㅠㅠ,5
사팔사팔하면 되겠네.,6
으와,6
오너 왜이리 급해졌지,1
제발ㅜㅜㅜㅜㅜㅜㅜ,3
🇨🇿🇨🇿🇨🇿🇨🇿🇨🇿🇨🇿🇨🇿🇨🇿🇨🇿,6
진짜 개몬하넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅌㅋㅋㅋ,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
보노보놐ㅋㅋㅋㅁㅋ,0
기여운데 ?,6
500층 가즈아ㅏㅏㅏ,0
물어! 왕,6
누가 그렇게 먹어요 ㅋㅋㅋ,6
아니 ㅋㅋ,0
돌아와 나에게 돌아와~,6
준비도 못한 팀 상대로 골 먹고 ㅠㅠ,3
포대장 ㄷㄷㄷ,1
어리네,6
명보차이,4
{:d_54:},6
이제 망한건가요,5
그래 g2 조합이 한타 조합이라 모름 진짜.......,3
그냥 지고 한국와서 계란 쳐맞아라,4
각 나왔다 2대1 한국승리각 나왔다 2대1 한국승리,6
그냥 너무 답답해,2
시조의 거인이네 ㅋㅋ,6
섹스섹스,0
등은 ㄹㅇ 인정이지,6
시원하노,6
치트엔진 서치 중 ㄷㄷ,1
30퍼만 발라도 신일듯,6
ㅋㅋㅋ 아 어이없다,2
지려따!!!!,0
ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,0
응반칙임 ㅅㄱ,6
정 의 구 현 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,6
먼닉님 카에데상이 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ,3
선택지가 아닌데?,6
dhk Tl,6
명보가 명보한건가요?,6
차트가 산넘어 산이다 ㅜㅜ,3
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
배뜨룸,6
오이데,6
마빡아!!!,6
힘들다,3
/게임나가기,6
ㅈㅈ,6
앗싸! 한국 축구 망했다!!!나이스!!!!,3
오 노래 잘하시네 ㅋㅋㅋㅋㅋ,1
띵보가 또,6
차트보면 사고 싶지 않음..,4
노골이네,6
국장이 단타의ㅜ장이 됐구나 ㅠㅠ,3
이제뛰어야하는거아님?,6
와 이제는 체코한테도 안된다고 우리 대한민국 축구가,6
이제 홍명보의 저주시작인가,5
튀어봐,6
느그흥나가!,6
유성매직 캬,6
실적 하회,6
진짜 안볼란다,4
룩삼삼촌급ㄷㄷ,6
형 나 진따 어떻게 해야해 ㅠ,3
교체좀해라고 시발,2
개미투심 박살났어....ㅠ,3
아 즌나 우울하다..,3
이젠 지수만 봐도 걍 웃김,6
스피드런 가시죠 ㅎㅎ,6
여자는전부죽이고남자는산채로잡아와라,6
닉스 좀 살려주세요..,3
미친 상승 가자,6
삼전 오른다 우가우가,6
쪼끔만올려줘 제발 ㅠㅜ,3
주봉보시면 더잘보여요,6
근데 어차피 비지니스 약속아니면 밖에 나갈일이 없으면서 뭐가 일정이란건가요 부를친구가 휴대폰에 도꼬미 두더놈 세더놈말고는 없지않나요 친구없는지누 뭉추 ㅠㅠ,3
복리로 100퍼 넘음,6
딱코충,6
크로슈팅,6
뭉기전,6
저거먹히냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2
갓겜,6
천재맨,6
백태클인데?,6
정몽규 하...,2
살려주세요~~~~~~~~~~~~~~~,5
ㅁㅊ ㅋㅋ,6
전 엇박이에여,6
골 ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㄱ,0
토나온다 실력,4
공격을해야지 공만돌리노,6
오~~~~~~,6
타점을 너무 못잡앗네,6
오미,6
토론회 보다가 도저히 못보겠어서 왔습니다 ㅋㅋㅋ어휴,4
학폭 터짐 ㅠㅠㅠㅠ,3
이러다가 강원랜드 망한다고 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,3
안아줘요~,6
섹스!,0
노르웨이 이기자!!!!!!!!!!,0
화이토,6
대황투ㅋㅋ,6
?ㅋㅋㅋㅋㅋㅋㅋㅋ,0
형 살려줘~~~,5
퀴즈?ty,6
농구배구선수ㄷㄷ,1
뻥글 사망,6
태석이 빼라,4
골 ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,0
도망가자,6
영도나올려 지누형,6
수비 ㅅㅂ ㅋㅋㅋㅋㅋ,1
반말이다데쓰,6
ㅇ차,6
겨털이없네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
살려주세요~~~~~~~~~~~~~~,5
로,6
VAR 매수 ㄱㄱ,6
뒤로 돌리기 지긋지긋하다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2
아니말투가 개웃기네 ㄴㅋㅋㅋ,0
파이어 가능,6
지금은 얼마??,6
대 비 비,6
뻥국 슛도 몬하노,6
아노제가,6
개못한다개못한다개못한다개못한다개못한다개못한다개못한다개못한다개못한다개못한다개못한다개못한다개못한다개못한다개못한다개못한다,4
1000억 슈카 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ.,0
하이닉을 산 내가 바보다,6
아래서 사면 거의 상친거임,6
가만 있어야지,6
몽규 잡히자마자 ㅣ발,2
에라이~,6
뭐야 갑자기,6
개못하네,2
안녕하세요! 리센느입니다!,6
호신용의자 ㄷㄷ,1
손흥민 쳐나가라 ㅋㅋ,4
3번 누구?,6
오늘 장기팔아서 여주사?,6
이게 진짜 물고문이지,6
레버리지 제재들어간다니까 한꺼번에 급하게 해먹은거지,6
뭐하는데 시바,4
가보자,6
그런말 신경쓰지마요,6
매수 (모름),6
꼽등이 ㅋㅋ,6
Var 취소각,6
닉스가 밉다,3
저건 노골이지,6
얏타~,6
신사인 나,6
한본인이자나 ㅋㅋㅋ,6
기성용그립습니다,6
전 좋아욯ㅎ,6
레츠고 지투!,6
노르웨이 뭐야 ㄷㄷ,1
가짜일본인은 머ㅜ야,6
와 진짜 슈카 방송 시작하면 반등 나오는거 신기하네,6
한양대학교 화학공학과 화이팅,6
극찬ㅋㅋㅋ,0
ㅠㅠㅠㅠ,3
"명보는 계획이 없니?,,",4
말하면 스포밴이자나요 ㅠㅠ,5
뭐하냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,6
자리 말도 안되는데 좀 무서운 자리기도함 ㅜㅜ...,5
{:lck_2:}{:lck_2:}{:lck_2:}{:lck_2:}{:d_55:}{:d_55:}{:d_55:},6
미ㅏㅇ너림아ㅓㅣ넒ㅇ날,6
zㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
진짜 쇼킹하다 슈팅,6
허어어억,6
살려줘 ~~~~~~~~~,5
진짜 개몬한다,4
찝엔,6
웃음이 나오냐?,2
노르웨이 고등어로 심판 매수 ㄷㄷㄷㄷ,6
치트엔진으로 빠르게 ㄱㄱ,6
머야이게 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
마!!! 노 지금 무라 현노!!! 마!!! 노 지금 무라 현노!!! 마!!! 노 지금 무라 현노!!! 마!!! 노 지금 무라 현노!!!,6
구경하냐,4
네이버는 오른것도 없는데 왜이래요.......,5
토나온다 실력,4
속으면안됨,6
전쟁 터지려나,5
일어나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,6
다라이 ㅋㅋㅋㅋㅋ,0
까ㅡㅡㅡ꿍,6
뒤로 돌리기 지긋지긋하다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2
명보갓~,6
도란 스발,2
차트 맛있게 ㄷㄷㄷㄷㄷㄷㄷㄷ,1
찌가 계속 현혹하네 ㅜㅜ,3
ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋ,0
삼전기 왜케 밀림????,6
헛된욕심은 품으라고 있는겁니다,6
{:wc_30:}{:wc_30:}{:wc_30:}{:wc_30:}{:wc_30:},6
개판이네,4
홍명보 제거,2
와우. 침닦어,6
이혼 터짐,6
-80 매매,6
오늘도 조졌다리,5
엥?...,1
싫어요 ㅎㅎ,6
꼽기견;;;;;;;;,4
대박이네,1
넣을 떄 넣었어야지 어휴,2
{:d_197:}곰곰여론조사{:d_197:}여론조사 나왔습니다. 케인이 강동원 닮았으면 {:d_108:} 현빈 닮았으면 {:d_126:} 을 입력하세요,6
너무 막 들어가..ㅠ,3
조저써,6
와ㅏ,1
래버는 ㄹㅇ 다 쥐졌다 ㅋㅋ,6
졸라 재미있어 ㅎㅎㅎㅎ,0
멍하니 처보고있노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
알려주면 너때문에 유튜브 분량 못채웠잖아 임마 너 벤이야 만원내고 채팅쳐 이럴거면서 무슨 ㅋㅋ,6
죄송해요 케인님 ㅠㅠㅠㅠㅠㅠㅠㅠ,5
(24/25) 진짜 슈형 오면 ㄱㄱ,6
샀습니다,6
아이고 미치겠네,5
'그냥',6
뭐냐 이거,6
시밬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
역시 명보 ㅋㅋㅋㅋ,6
누넢써억,6
검열민국ㅋㅋ,6
개못해 걍,2
너무힘들어요,3
장난하냐,2
그 누구의 계좌에서 울고 있나요 ㅠㅠ,3
환불해줘~,4
기관 ㅋㅋㅋㅋㅋㅋㅋ,6
슨ㅋㅋㅋㅋㅋㅋㅋㅋ,0
하이닉스만 빠지네,6
드가자ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ,6
풀 배팅,6
ㅠㅠㅠㅠㅠㅠ,3
레버리지는 몰라도 인버스는 못건드림,6
형 어제 롱이라매요 ㅜㅜ,3
이게 못 이길 게임이 아닌데 하,3
나이스!!!!!!!!!!!!!!!!!!!!!!!!,0
이글스도요,6
저도 첫번째에 속아서 갸처물림,2
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
이미 들어갔음,6
기래요 ~,6
지누시 ㅊㅊ,6
인버스?,6
삼송이 돌아와,6
삼전 양전함,6
슈카님 5년 애청자입니다 제주반도체 한 번 봐주실 수 있을까요,6
하이닉스 컨콜 한국식이어서,6
쉐도르프,6
전술이 없는데 어떻게 이기냐,2
휴지달라고?,6
처빨려자꾸,6
치지직이 먼저 섭외했는데,6
아 숏 배팅했는데,6
무지개 보노보노 해야하는데 ㅋㅋ,6
잘가라 땅명보 잘가라 ㅈ몽규,4
기괴하다,4
근데 안돼,6
좀 참을까여?,6
숨자..,6
아니 기회가 얼마나 많았는데 {:d_58:}{:d_58:}{:d_58:}{:d_58:}{:d_58:}{:d_58:},2
골취소될듯,6
코스닥이게나라냐,2
ㄷㄷㄷ,1
구경하냐,4
매수(모름),6
나 빠다ㅠㅠ,3
슈카형한테 화풀이ㄴㄴ,6
이건 또 첨보네,6
미나미 야호~,6
학폭 개웃기넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
삼전기 ls일렉트릭 살려주세요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,3
망햇다 망햇음 헤헤,3
일본인 한명이었어?,6
ㅎㅎㅎㅎㅎㅎㅎㅎㅎ,0
ㅈ댓다,5
카르마 이슈 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
미친 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
보노보노,6
가썩ㅠㅠ,3
코스피 1만 뭐 호 로 어쩌구 드가자ㅏㅏ,6
하이,6
셰도르프 어직도 은퇴 안했냐 셰도르프 어직도 은퇴 안했냐 셰도르프 어직도 은퇴 안했냐 셰도르프 어직도 은퇴 안했냐,6
네 ㅋㅋㅋㅋ,6
오이,0
var 봐야한다노,6
라이타개입은 ㅋ,6
더하면 안되지 곱해야지,6
장난????????,1
형이 아니래 돔황챠,6
화이또,6
손흥민뺴고 니가 뛰어라,6
네ㅎㅎ,6
명보 나가 죽어,4
삼성전기 난리났어 ㅜ,3
꼼깸 쳐내,4
사무시푸시간,6
아 이게 뭐냐 진짜,3
기괴하다,4
방송시간이 어찌되요?,6
갔다,6
정몽규회장시발,4
반칙이노,6
근대 우리나라 레버리지 etf가없다면 미국이나 중국우회로 개인이 4848할수있ㄴ,6
[케인] 아는사람만,6
반칙이야,6
비사아아앙~~~~~,5
도발의 달인,6
지리네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
연경누나 가능,6
저도 첫번째에 속아서 갸처물림,2
닉스좀 살려줘,5
전직은 뭐냐,6
밴유도 나빠다 ㅠㅠㅠ,3
먹고살자고 하는건데,6
닉스가 밉다,3
스트레스 받게하네 진짜,2
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
아직 바닥 아님 ㅜㅜ,5
장난하냐,2
저기로 피서갔어?,6
뭬뭬이야,6
영도봐,6
1분봉,6
띵보야 짐싸라..ㅋ,4
노르웨이 진짜 우승할 것 같다,6
밥만 쳐먹고 축구만하는애들이 이리 못할수가있나,6
삼전기 200이상 먹었으면 초고수;,6
ㅈ망,3
형 나 진따 어떻게 해야해 ㅠ,3
도란 ㅋㅋ,2
졋네,3
전세계적으로 유명하구나,6
죄송한데 이거 무슨차트죠;;;;;;,6
우승가자,6
ㅁㄴㅇㄹㅇㄴㅇㄹ,6
왜 이렇게까지 밀어재끼는거야,1
/고화질 모드,6
와 진짜 험한말 마렵다,2
그냥 너무 답답해,2
살려주세요~~~~~~~~~~~~~~~,5
ㅗㅜㅑㅐ,1
이게 주식이냐,1
아인슈타인,6
욕나오죠,6
얘네랑 엄대엄 나면 blg 한화 어떻게 이길건데...,3
아옥,6
슈카붕어,6
말투가구수하다,6
ㅈ망,3
ㅋㅋㅋㅋㅋㅋ명보한테 뭘바라노,4
개처안일하네,2
뒤에서 후렸는데 노파울 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,6
개못하네,2
ㅈ같닼ㅋ,4
밴유도 조심,5
걍 팔지말고 버티라할때 팔걸,6
허미 개크다,1
하이닉스는 조강지처 버린걸로인해 화난사람들 많아서 쩔수없어 그래서 계속 맞는거야,6
오늘 cpi입니다,6
최고점은 못 넘습니다,6
직스 개쎄다,6
그냥 개 처웃기노? ㅋㅋㅋ,4
{:wc_36:}{:wc_36:}{:wc_36:}{:wc_36:}{:wc_36:},6
에렌은 컸었는데..?,6
인나,6
인구신이 숏이래 내일 대 반등이다 풀신용ㄱㄱㄱㄱㄱㄱㄱ,6
윤가군,6
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ3:0가자,2
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
코인 거래소에서 skhy 선물 롱숏 해보면 아주 끝내줘요,6
SOOP엔딩 ㅊㅊㅊ,6
var 돌릴거,6
슨ㅋㅋㅋㅋㅋㅋㅋㅋ,0
대답해주네,6
ㅅ ㅅ ㅅ ㅅ ㅅ ㅅㅅ,0
ㅈㄴ섬뜩하네,5
오케이를 해줬어요?!!?!,6
밥먹자~!,6
슈또속 ㅋㅋ,0
또 꺾인다~~~~~~~~~~~~~~~,2
드가자~~나만 듁을수 읎따~~~,6
낚시였네,6
끼끼몽 해여하나,6
그건좀..,4
ㄷㄷㄷㄷ ㅠㅠㅠ 녹아녹아 ㅠㅠ,5
치트엔진 쓰죠,6
ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,0
뭉서워요 ㄷㄷㄷ,5
현지인,6
음봉 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
에휴,3
장투는 진짜 답이없네 ㅋㅋ,2
이게뭐냐고ㅡㅡ,2
ㅅㅅㅅㅅㅅㅅ,0
뒤져라 체이커,2
뭔일이고,6
현준 듀오 레전드 레전드 레전드,6
야호{:d_94:}{:d_94:},0
어차피 영상 다음주에나 올리실건데 나중에 하죠,6
무빙걸피하기가어려운데,6
ㅇㅈ,6
와 차트 꼬라지 보소,2
닉스는 mz야,6
치금이니,6
파울 아님?,6
스로인으로 쳐먹는거 진짜 웃기네,4
ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋ,0
멐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
니니,6
아 그래서 떨어졌구나 이해함요 ㅋㅋㅋㅋ,6
저는 누굴 탓하기 싫고 탓 안하던 사람인데 이제는 누굴 탓하게 되네요 정말 한국장은 이제 안올게요 정말..손실 크게보고 미장으로 장기 투자 하러갈게요 위플로 갑니다.....,6
슈카님 멘탈보니까 슬슬 저점인가요ㄱㄱ,6
{:wc_3:}{:wc_3:}{:wc_3:}{:wc_3:}{:wc_3:},6
미친 나왔다,1
졌나,6
영차,6
농구배구선수ㄷㄷ,1
차트가 산넘어 산이다 ㅜㅜ,3
오옹 ?,6
에바,6
👏👁👅👁,6
픽포드 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
진격거 ㄷㄷ,1
ㄷㄷㄷㄷㄷㄷㄷㄷㄷ,1
그럼 바로 밴이잖아요 ㅠㅠ,5
아니 ㅋㅋ,0
옾사이드네,6
아쉽긴 하다,3
삼전기 ls일렉트릭 살려주세요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,3
주식계의 밥로스 아저씨 슈키형,6
주봉한번보세용,6
전기 죽어여.ㅠ,3
아 이거 똥싸다끊은거같이 ㅋㅋ,4
뽀럭,6
야호{:d_94:}{:d_94:},0
아 ㅅㅅ하고 싶다,6
개븅신들,2
미국 10년채권 4.6,6
올해 시장은 끝낳다 내년에 보자,6
골이네,6
하늘 뚫고 올라갈 차트,6
아진짜 채팅창 어케끔?,6
와 개멋지넹,1
짜증나,2
슈카등장 = 반등의 시점 ㅅㅅㅅ,6
ㅠㅠㅠㅠㅠㅠㅠㅠㅠ,3
진짜 직스 딜각이나 만들지 ㅋㅋㅋㅋ,6
뒤에서 걷어찼는데 파울을 안불었다고?,6
우왙,6
/몽규제거,4
장대양봉 대기중,6
컨콜>삼전 감동> 하닉도 따라올라감>삼전은 주주환원 좋음 > 하닉은 꾸짐 > 하닉만 더 쳐맞기,6
에이 노파울이지,6
ㅠㅠㅠㅠ,3
애미뒤졌나,2
ㅋㅋㅋㅋㅋㅋㅋ 머리가 안좋아서 공부를 못해 ㅋㅋ,6
투헬 다운,6
이게 드간다고,6
험;,1
시간이 애매하네요ㅠㅠㅠ,3
커엽노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
ㅈㄴ 무섭네 ㅋㅋ,5
딩당딩,6
뭐야 재밌는거 지들끼리 했네,6
살려줘 제발 ㅠㅠ,5
닉스가 밉다,3
투헬 초긴장 ㄷㄷ,6
한명을 못 뚫노,4
맹보 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4
와!!!!,0
zzzzzzzzzzzzzz,0
오늘 삼전/하직 고점 저점 차가 12%에요...그러니..국장은 뭘 할 수 있는 장이 아닙니다.,6
몽규의 팀 ㅋㅋㅋㅋ 알지,6
삼성전기 살려주세요ㅜㅜ,5
눈 돌아 간다,6
환불해줘~,4
심전 외인 순매도 ㅋㅋ,6
레버에 돈일 몰릴수밖에,6
크,0
속지마!,6
개잘찼농 ㄷㄷ,1
수비 5명 벙찌고 있노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2
계산상은 ㅋㅋ,6
우리도 피곤해요 ㅠㅠ,3
ㅈㄴ재미없네,2
시계,6
문잠궈,6
기관이 사는데,6
일장춘몽규 가라,6
저도 첫번째에 속아서 갸처물림,2
노르웨이 준우승 간다,6
ㅁㅊ,1
ㄱㄱㄱㄱㄱㄱㄱ,6
드리르,6
왜 아무도 안 붙어,4
쫄?,6
김승규 뻥뻥 날리기마누하고,6
저걸 못넣노,6
바닥 보기다 잠수,6
어떻게해야 할까요,6
ㅂㅅ들,4
뭐가온다,5
매혹,6
작은 애들 뽑아놓고 작다고 징징거리냐,4
최소 형님빽,6
명보형 제발 그만해줘 제발,5
용은 먹었고,6
찝찌배,5
베인엔딩,6
시러요 ㅎㅎ,6
경우의 수 발동@@@@@@@@,6
야이ㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣ,2
슈불!!!,6
ㄹㅇ ㅋㅋㅋㅋ,0
아오 오너시치,6
케인님 오늘은 왼쪽 허벅지살만 가져가신다고 했잖아요... 제발.. 한번만 봐주세요... 어...어어어...으아아악 오지마아아아앙아아아아아아앙아아앙ㅇ아아아아아아아앙아아아앙아아아,6
비상ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ,5
먹고 살자고 하는건데 ㅠㅠ,3
분명한 한국언데 한국어가 아닌 것 같애,6
환율살려,5
/채팅저속모드/채팅저속모드/채팅저속모드/채팅저속모드/채팅저속모드/채팅저속모드/채팅저속모드/채팅저속모드/채팅저속모드,6
물으라고!!! 지금이야!!!,6
꼽쌤;,4
깊은크로스노,6
지금 들어왔는데 슈카님 표정이 왜 저러지,6
나가라 정몽규 홍명보,2
오 ㅏㅅㅂ,1
보기싫어 ㅠ,3
홍명보와 정몽규가 넣은거지,4
/조졌네이거,3
ㅋㅋㄱ자동문키퍼ㅋㅋ,6
꼽견 이제 좀 나가라,4
용뺏겨서 ㅅㅂ하,2
ㅂㅅ년들,4
장난????????,1
우리 닉스 좀 살려줘요,6
오 ㅏㅅㅂ,1
{:d_9:}{:d_9:}{:d_9:}{:d_9:},6
ㅋㅋㅋㅋ,0
신의 매매 ㄷㄷ,1
두번죽임ㅠㅠ,3
ㅋㅋ 노골 될 수도 있겠노 ㅋㅋㅋㅋ,6
잡쉇ㅆ냐,6
니니 여보 건강해져,6
삼성전기 뭐야,6
그건 rp셔?,6
